2025/03/05 11:31更新,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639&wsIPSercert=6f8d45434604e7d22f5b0abbc0231d01&wsMonitor=0
香港卫视,rtmp://zhibo.hkstv.tv/livestream/mutfysrq

港澳J组,#genre#
凤凰香港,http://wo.xiang.lai.ge.bi.jiao.chang.de.yu.ming.wan.wan.jie.xi.bu.zhi.dao.ke.bu.ke.xing.hk3.345888.xyz.cdn.cloudflare.net/gt/aktv.php?variable=null-5
凤凰资讯,http://wo.xiang.lai.ge.bi.jiao.chang.de.yu.ming.wan.wan.jie.xi.bu.zhi.dao.ke.bu.ke.xing.hk3.345888.xyz.cdn.cloudflare.net/gt/aktv.php?variable=null-4
三立新闻,http://wo.xiang.lai.ge.bi.jiao.chang.de.yu.ming.wan.wan.jie.xi.bu.zhi.dao.ke.bu.ke.xing.hk3.345888.xyz.cdn.cloudflare.net/gt/aktv.php?variable=null-14

港澳K组,#genre#
寰宇新闻,http://ku9.fr.to/smt.php?id=huanyuxinwen_twn
龙华戏剧,http://ku9.fr.to/smt.php?id=lunghuaxiju_twn
美亚电影,http://ku9.fr.to/smt.php?id=meiyamovie_twn
民视台湾,http://ku9.fr.to/smt.php?id=ftvtaiwan_twn
三立都会,http://ku9.fr.to/smt.php?id=sanlidouhui
三立戏剧,http://ku9.fr.to/smt.php?id=sanlixiju_twn
台视新闻,http://ku9.fr.to/smt.php?id=ttvnews_twn
纬来体育,http://ku9.fr.to/smt.php?id=videolandsport
中视新闻,http://ku9.fr.to/smt.php?id=zhongshinews_twn
中天亚洲,http://ku9.fr.to/smt.php?id=ctiasia_twn

